"Total energy expenditures in the residential sector, million dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,352.8,386.5,425.4,497.0,547.1,708.0,766.7,969.2,"1,084.5","1,117.6","1,422.4","1,568.6","1,820.6","1,996.2","2,218.6","2,256.3","2,480.3","2,615.2","2,757.8","2,879.1","2,999.3","3,072.4","3,196.8","3,577.4","3,483.9","3,699.3","3,947.7","3,906.7","4,078.2","3,775.1","4,845.4","4,908.5","5,123.2","5,473.0","6,035.6","6,899.1","7,126.0","7,337.2","8,040.0","7,812.0","8,685.3","8,512.1","7,959.1","8,205.5","8,977.7","8,486.5","8,586.9","8,620.8","8,995.4","9,067.6","9,070.5","9,602.1","11,124.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,39.1,44.9,49.0,58.6,69.0,86.1,94.8,104.9,117.3,136.8,175.5,262.2,270.0,249.8,237.1,227.4,193.5,207.7,202.1,220.9,251.6,268.6,287.8,315.5,331.3,360.7,396.4,415.1,401.8,408.8,486.0,491.6,486.9,538.2,603.6,691.9,785.1,811.0,"1,076.6",802.3,917.1,"1,090.0","1,112.0","1,037.0","1,034.9",827.1,767.4,826.1,928.5,932.3,904.3,"1,004.6","1,248.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,336.2,347.5,392.3,454.6,487.5,562.7,620.8,710.0,769.2,956.4,"1,035.4","1,129.9","1,322.6","1,416.9","1,333.1","1,318.4","1,280.7","1,198.8","1,285.5","1,314.0","1,300.4","1,372.0","1,345.9","1,482.5","1,454.0","1,512.4","1,646.0","1,658.8","1,540.0","1,590.6","1,815.0","1,852.2","1,772.5","1,986.0","2,047.9","2,365.3","2,351.1","2,462.4","2,769.9","2,484.2","2,533.8","2,560.0","2,327.3","2,601.8","2,828.8","2,364.0","2,364.3","2,484.2","2,819.0","2,770.4","2,628.9","2,914.7","3,530.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,65.3,74.3,82.5,93.1,98.7,128.8,140.7,161.7,162.7,191.7,210.0,231.9,258.4,266.3,315.8,339.1,317.8,302.9,329.7,355.3,357.3,388.1,366.7,416.6,410.5,434.5,457.8,457.6,456.5,498.0,584.2,649.5,682.1,635.4,727.4,831.5,920.5,947.0,"1,090.9","1,063.1","1,002.7","1,061.5","1,033.8","1,200.7","1,157.0","1,137.7","1,140.2","1,271.2","1,232.4","1,265.6","1,230.5","1,352.4","1,613.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,"1,265.2","1,374.3","1,524.1","1,666.7","1,922.5","2,150.4","2,484.8","2,855.4","3,218.2","3,433.9","3,831.6","4,178.2","4,721.8","5,461.4","5,489.3","5,446.0","5,327.2","5,409.7","5,624.9","5,898.0","5,699.1","6,056.5","5,937.8","6,519.8","6,334.5","6,483.3","6,966.8","7,083.0","6,321.1","6,201.9","7,248.3","7,745.0","6,970.9","7,958.5","8,081.0","9,447.2","8,722.1","9,966.6","11,502.2","9,464.0","10,101.9","9,781.0","8,731.7","9,199.5","10,666.6","9,114.4","9,101.3","9,344.6","10,044.0","9,903.5","9,580.7","10,849.5","13,752.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,597.7,637.5,717.0,803.6,887.4,976.8,"1,107.8","1,308.7","1,473.0","1,631.4","1,789.4","1,934.5","2,218.5","2,286.5","2,481.1","2,430.9","2,465.2","2,454.9","2,636.6","2,696.5","2,539.0","2,667.2","2,620.6","2,843.4","2,898.8","2,869.3","3,120.4","3,194.8","3,024.1","3,161.4","3,334.9","3,719.2","3,674.0","4,001.7","4,134.3","4,730.5","4,695.7","4,940.4","5,613.0","5,099.7","5,021.8","5,199.4","4,859.7","5,301.0","5,762.9","5,217.2","5,132.1","5,267.7","5,865.9","5,771.8","5,638.1","6,141.5","7,045.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,228.2,238.0,254.6,293.3,320.9,343.9,419.9,487.3,532.2,578.1,656.0,733.1,928.5,"1,081.6","1,017.1",986.0,990.6,"1,008.9","1,054.6","1,056.0","1,110.7","1,150.1","1,079.2","1,247.8","1,212.2","1,238.4","1,389.2","1,366.8","1,401.4","1,376.0","1,611.5","1,670.3","1,580.2","1,714.9","1,778.0","1,984.3","1,984.2","2,117.4","2,372.2","2,245.1","2,343.9","2,376.0","2,206.0","2,442.1","2,650.6","2,367.8","2,395.5","2,445.4","2,744.5","2,525.8","2,460.9","2,624.7","3,180.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,272.2,267.2,265.3,334.9,370.7,446.3,517.2,650.0,700.2,793.6,"1,000.0","1,080.9","1,203.7","1,348.2","1,324.5","1,324.2","1,299.1","1,320.6","1,376.6","1,423.1","1,382.3","1,500.8","1,475.1","1,602.4","1,620.0","1,635.7","1,773.5","1,788.9","1,694.4","1,762.4","1,962.8","2,015.4","2,010.8","2,188.4","2,355.2","2,748.2","2,726.7","2,940.1","3,293.1","3,156.7","3,374.5","3,397.9","3,127.0","3,414.3","3,729.0","3,420.7","3,368.5","3,336.6","3,665.2","3,635.6","3,478.0","3,831.7","4,494.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,296.8,306.3,368.1,418.4,477.9,488.5,550.7,662.4,735.5,835.8,"1,078.6","1,398.7","1,545.4","1,538.3","1,761.6","1,775.4","1,809.7","1,816.2","1,816.6","1,891.9","1,949.6","1,953.5","1,949.3","2,123.0","2,085.9","2,091.0","2,259.6","2,231.3","2,257.8","2,264.9","2,659.8","2,676.0","2,454.9","2,783.3","2,861.6","3,165.7","3,145.2","3,294.4","3,633.4","2,982.7","3,561.2","3,415.7","2,943.0","3,380.4","3,576.1","3,390.0","3,262.0","3,305.7","3,570.1","3,501.5","3,380.8","3,883.8","4,689.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,794.1,890.0,962.9,"1,071.1","1,414.4","1,501.6","1,710.1","1,829.3","1,823.1","1,901.9","2,405.0","2,732.8","2,811.7","2,852.2","3,086.3","2,968.4","2,715.1","2,795.9","2,865.9","3,267.1","3,418.2","3,404.2","3,577.6","3,704.1","3,787.2","3,598.0","3,752.7","3,830.2","3,401.3","3,483.9","4,274.4","4,944.6","4,357.2","5,281.8","5,440.2","6,464.7","6,935.2","7,266.5","8,239.9","7,014.0","7,093.5","7,244.6","6,831.4","7,292.9","8,052.5","7,532.5","6,466.4","7,091.4","8,290.3","8,067.7","7,582.8","8,287.8","10,320.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
