"Total energy consumption in the industrial sector, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,"254,662","258,733","284,934","298,329","325,615","366,608","397,515","410,930","430,968","445,468","449,452","466,507","506,439","549,004","523,601","480,246","501,576","510,883","550,453","600,556","578,554","561,728","535,156","565,908","618,259","661,518","619,448","644,045","672,705","738,693","777,837","768,314","781,180","792,789","815,804","872,909","908,368","923,243","892,471","900,749","905,977","838,864","925,110","874,674","911,019","878,525","875,696","848,797","772,243","700,748","751,741","745,480","718,355","743,031","772,291","770,544","761,868","748,866","757,367","753,197","699,943","734,141","738,901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,"20,545","26,737","28,634","29,784","31,648","34,030","35,097","38,008","38,353","40,347","42,943","43,014","48,651","49,316","49,231","49,786","51,127","52,776","52,539","58,541","74,008","73,065","78,892","65,467","64,411","66,751","76,304","79,034","88,225","93,342","98,380","88,496","93,169","91,383","92,326","91,605","94,125","87,341","79,291","76,809","76,669","68,421","70,038","67,947","67,987","71,433","70,418","67,558","64,365","67,714","66,665","65,823","63,131","63,205","62,066","61,672","60,471","57,984","54,099","54,115","44,791","46,572","47,744",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,"216,998","214,730","218,468","230,750","248,360","259,028","250,620","272,595","279,969","290,082","302,033","292,083","305,230","343,914","337,557","313,264","342,387","340,276","323,397","367,906","369,311","370,763","342,753","328,993","340,028","329,465","352,437","365,176","396,828","356,229","368,845","386,022","400,716","428,391","451,055","463,958","473,741","470,007","486,508","511,722","507,440","479,109","483,039","470,651","524,679","544,319","561,897","612,170","659,262","675,535","715,149","718,314","689,442","717,858","723,456","733,087","742,859","803,409","831,545","823,635","749,598","764,672","771,307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"81,491","89,529","92,231","94,607","105,728","109,911","111,550","124,032","138,133","133,935","138,621","140,118","149,595","148,747","152,921","140,676","137,933","132,727","139,652","136,672","128,003","141,101","126,636","127,731","121,596","122,446","118,905","126,330","134,330","153,746","136,570","141,108","149,698","141,794","152,823","153,694","162,804","158,611","168,119","169,729","177,016","163,072","147,158","148,427","166,107","165,242","155,931","164,091","162,300","140,589","155,741","140,777","146,339","149,211","147,614","147,247","140,292","137,274","138,823","137,865","139,101","144,811","148,159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,"1,096,636","1,096,729","1,120,348","1,144,869","1,214,651","1,281,844","1,320,572","1,340,781","1,388,353","1,442,025","1,447,530","1,403,919","1,466,887","1,541,334","1,503,332","1,386,381","1,421,280","1,442,484","1,453,836","1,468,544","1,372,229","1,218,504","1,077,979","1,122,412","1,177,333","1,172,718","1,199,695","1,261,288","1,313,985","1,181,212","1,238,875","1,255,597","1,275,674","1,274,300","1,319,315","1,330,969","1,339,927","1,349,486","1,322,058","1,318,789","1,249,767","1,190,200","1,176,102","1,201,877","1,253,104","1,238,730","1,202,673","1,217,450","1,219,337","1,094,147","1,213,875","1,215,052","1,210,319","1,219,673","1,233,278","1,165,328","1,167,724","1,161,053","1,161,680","1,155,720","1,114,316","1,108,257","1,108,954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,"863,431","876,881","867,636","912,466","978,915","1,029,382","1,104,668","1,094,645","1,137,925","1,191,355","1,210,802","1,185,880","1,307,357","1,347,536","1,310,819","1,244,423","1,252,095","1,312,311","1,324,000","1,385,379","1,247,021","1,233,996","1,039,823","1,050,340","1,045,997","1,088,681","1,022,561","1,109,880","1,165,992","1,154,234","1,194,423","1,155,054","1,162,292","1,199,372","1,172,569","1,189,286","1,245,842","1,247,459","1,258,313","1,310,897","1,339,218","1,268,959","1,322,033","1,345,241","1,390,035","1,351,193","1,330,893","1,360,238","1,322,484","1,183,716","1,288,285","1,298,511","1,278,760","1,306,623","1,315,627","1,286,162","1,253,093","1,217,386","1,283,625","1,283,404","1,161,912","1,221,665","1,180,045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,"262,221","249,911","258,952","246,433","263,113","296,679","330,103","281,360","312,786","325,068","332,667","352,049","371,780","388,421","379,617","343,380","372,989","393,647","401,727","502,746","406,731","361,938","352,020","324,273","411,405","394,708","365,978","396,610","416,533","394,140","417,239","412,480","431,932","424,173","472,193","402,114","401,488","414,081","392,394","402,444","399,934","382,060","391,018","407,714","406,900","360,738","383,534","427,990","377,723","347,750","365,694","362,659","365,517","354,264","360,195","366,129","366,857","364,409","372,009","365,051","363,032","360,586","369,899",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,"445,431","440,134","438,288","471,940","475,553","473,539","468,510","473,985","483,507","497,794","503,666","509,915","574,693","582,754","579,236","596,186","651,735","642,006","604,635","632,417","586,480","535,855","499,996","488,114","571,074","554,706","506,563","528,252","551,327","602,336","646,222","632,298","688,722","691,356","737,113","767,067","793,157","769,762","737,942","776,076","741,748","775,279","862,588","827,723","862,925","868,289","891,033","876,323","878,204","812,177","847,587","822,757","826,589","713,353","657,135","633,582","606,835","589,025","601,670","601,113","550,216","591,730","589,194",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,"1,061,238","1,115,775","1,120,754","1,261,348","1,342,389","1,284,716","1,394,872","1,587,690","1,722,839","1,943,233","2,032,358","2,085,747","2,204,463","2,363,031","2,412,864","2,141,590","2,520,108","2,832,206","2,949,888","2,801,254","2,679,127","2,670,712","2,434,545","2,307,134","2,421,517","2,194,491","2,290,876","2,383,277","2,381,576","2,520,500","2,554,162","2,516,796","2,633,873","2,679,898","2,769,329","2,790,089","2,880,571","3,012,355","2,728,496","2,732,689","2,919,467","2,557,306","2,640,891","2,527,843","2,735,268","2,596,573","2,777,727","2,941,639","2,933,177","2,733,894","2,839,473","2,853,376","2,816,840","2,746,780","2,783,094","2,761,803","2,868,617","2,999,481","3,049,592","3,070,770","3,050,266","3,015,919","2,950,512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,"286,815","286,648","287,660","270,493","297,498","347,609","362,806","365,043","368,386","361,279","363,011","351,594","357,026","362,908","319,830","281,494","299,629","296,457","291,595","249,210","198,609","220,812","209,721","223,490","244,147","246,939","278,270","272,648","243,357","225,522","221,545","212,483","238,801","240,170","223,699","221,651","219,183","217,094","215,509","228,893","238,940","242,523","243,191","189,000","186,338","187,975","186,035","178,866","162,666","231,102","244,124","243,098","242,341","242,533","161,225","159,266","154,552","146,011","141,513","138,796","131,436","136,696","134,839",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,"302,623","296,520","309,439","323,694","352,631","367,938","382,238","376,817","388,049","413,620","415,914","432,361","422,996","485,084","413,763","356,037","403,278","377,363","382,649","437,221","376,307","379,565","340,721","352,231","406,855","382,745","377,385","399,329","406,022","421,810","422,339","388,169","361,263","375,591","359,343","253,836","258,208","279,415","260,174","253,166","254,600","259,099","375,869","434,493","380,193","381,606","180,997","179,318","170,948","147,782","142,671","135,963","124,113","108,631","112,805","111,055","107,631","106,090","101,439","96,872","85,144","89,674","87,499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,"76,647","76,610","69,242","65,979","76,609","67,050","75,686","81,114","83,785","94,454","97,993","139,043","142,704","140,397","131,657","104,147","133,932","140,317","133,069","129,212","164,818","175,527","216,222","188,373","199,750","192,137","193,429","178,721","198,315","199,598","166,771","183,188","201,544","199,515","211,469","193,031","198,871","189,066","163,322","169,286","188,959","170,938","166,293","128,039","145,755","140,369","136,564","148,187","168,840","127,130","138,750","138,984","138,246","135,815","124,363","113,510","97,651","90,602","94,879","95,189","92,681","90,383","82,746",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,"783,606","783,069","821,887","880,264","916,885","979,499","1,045,637","1,034,237","1,074,301","1,094,106","1,044,305","1,071,688","1,126,864","1,169,399","1,049,745","1,034,544","1,097,143","1,058,479","1,055,786","1,048,292","988,645","929,745","823,293","821,685","870,278","894,543","905,667","824,587","915,964","897,011","993,310","920,364","948,111","817,244","850,758","892,906","920,502","933,602","913,496","975,815","954,987","870,281","840,179","906,208","868,138","868,194","821,592","774,029","730,794","606,972","690,469","712,185","710,243","734,790","745,402","707,630","692,896","699,600","705,573","694,341","608,887","644,941","664,021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
