"Total energy consumption in the commercial sector, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,"62,746","64,169","71,975","75,586","79,884","85,605","92,636","99,721","115,198","127,890","137,981","148,249","162,008","174,771","170,066","180,143","193,555","212,968","197,065","196,346","197,000","207,866","209,739","221,814","243,570","249,468","257,346","274,921","291,880","305,525","307,978","311,034","320,129","340,911","349,791","382,777","407,899","424,566","435,705","440,986","485,961","484,635","476,244","493,149","524,957","534,184","537,940","558,011","558,815","541,529","571,123","552,169","526,489","517,336","536,391","539,801","541,965","517,816","531,161","521,376","473,171","493,957","527,357",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,"5,253","5,537","5,719","6,211","6,813","6,994","7,622","8,339","9,204","10,672","12,489","12,491","13,711","14,517","14,305","14,508","16,354","17,935","18,474","19,683","20,042","18,075","16,818","17,152","18,279","18,328","20,887","23,718","36,893","35,963","37,113","28,700","38,546","30,373","34,484","34,002","33,401","34,861","45,266","35,377","36,581","35,984","39,111","37,002","40,633","39,265","39,851","39,064","39,626","39,442","38,808","39,424","36,894","37,799","37,864","38,000","37,866","38,872","38,570","39,026","35,041","36,199","36,624",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,"66,018","68,167","73,827","73,922","76,713","81,712","86,098","90,079","95,490","101,530","107,641","111,153","117,270","121,866","123,480","132,150","134,542","135,796","129,276","144,205","119,619","129,418","134,505","135,751","127,912","119,693","112,698","111,141","124,453","123,242","133,727","143,653","136,775","149,468","145,810","151,434","156,969","161,686","159,498","170,641","171,942","180,427","186,111","191,105","181,647","180,709","188,090","193,096","200,502","193,963","190,976","189,970","177,530","191,136","188,261","175,387","161,749","159,873","170,735","166,781","140,659","143,870","159,089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"23,343","27,162","28,780","29,231","30,833","27,234","31,119","31,399","34,477","34,985","33,461","39,477","43,283","44,879","45,811","56,325","55,902","60,882","53,837","58,641","55,758","60,549","59,821","55,825","57,028","61,082","57,236","58,660","65,314","67,720","54,126","56,415","64,960","55,746","65,622","56,360","59,546","56,706","61,278","67,016","79,249","78,497","77,622","61,140","63,663","65,797","63,380","70,079","70,656","65,080","65,485","59,705","61,394","68,562","65,779","69,316","68,550","68,620","66,944","70,874","69,511","73,414","78,501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,"301,296","314,574","335,997","341,097","362,011","403,989","457,732","485,218","493,149","522,474","532,649","544,776","570,472","580,901","579,433","589,084","638,483","654,794","679,368","640,627","603,546","613,110","604,265","606,901","636,403","592,387","575,235","585,459","634,210","624,906","691,370","704,530","681,633","721,950","735,125","758,634","776,121","775,074","764,257","806,750","838,885","826,591","829,484","791,677","759,975","778,678","780,840","798,044","814,812","796,145","774,107","778,002","751,348","788,228","804,077","775,985","779,820","774,981","803,161","785,814","714,167","730,020","743,887",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,"102,549","104,644","110,502","114,789","118,722","127,194","136,797","146,406","155,539","168,918","180,735","191,667","210,393","204,014","203,319","210,825","218,042","219,789","216,497","217,302","214,844","200,720","213,245","227,239","236,432","228,637","224,329","227,867","261,205","273,825","277,867","285,187","285,573","302,917","303,980","315,010","324,282","321,314","323,078","330,125","350,409","391,321","348,625","369,012","368,377","366,509","353,184","376,908","399,103","380,983","378,923","371,272","354,667","377,604","383,839","366,280","359,397","346,064","367,435","355,587","323,903","347,268","356,892",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,"65,118","45,816","54,783","54,917","66,406","70,655","65,928","71,145","84,122","95,253","98,514","104,170","113,222","106,381","106,693","114,273","123,718","123,190","139,660","137,066","136,107","131,089","134,479","137,139","146,161","147,326","144,016","147,367","157,660","158,960","177,404","186,564","178,110","184,989","184,823","188,555","204,352","196,837","199,023","194,262","207,255","203,031","208,709","208,525","209,796","206,727","206,089","210,655","214,729","205,562","208,513","207,706","196,273","190,924","192,925","195,568","188,257","178,176","186,092","180,544","166,694","169,612","175,203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,"49,395","55,520","57,118","59,704","53,412","56,742","58,515","72,992","81,787","91,078","95,591","95,851","100,939","110,086","113,986","121,441","148,224","156,902","154,851","155,129","157,030","146,139","144,058","152,702","153,939","150,787","151,494","152,920","167,118","172,443","174,083","185,741","184,368","190,589","195,421","204,481","208,407","224,235","224,186","241,384","250,190","245,828","261,706","255,626","261,514","268,267","261,755","271,438","268,147","252,825","260,330","249,280","248,194","279,171","259,716","260,035","265,143","248,919","260,314","252,313","223,943","235,148","249,363",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,"65,624","74,509","71,118","79,154","85,551","85,217","93,623","125,346","141,266","150,646","176,095","179,399","190,289","200,413","203,796","175,840","184,413","218,296","246,891","348,033","270,745","301,707","291,903","204,737","215,081","224,645","219,181","205,825","206,844","210,924","189,509","191,263","188,924","191,618","199,682","204,223","207,959","209,366","219,358","216,130","236,056","216,876","226,616","218,484","224,137","231,018","205,433","281,775","266,394","272,908","278,665","277,271","274,247","265,394","263,845","266,628","261,973","262,407","262,918","253,637","228,899","238,182","238,697",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,"186,925","190,612","199,565","189,161","199,895","233,552","239,904","265,209","272,333","276,616","293,016","299,525","310,217","324,575","296,991","294,444","313,758","313,328","310,594","265,108","268,168","244,736","264,321","239,550","258,036","265,796","283,886","291,286","312,922","337,201","348,591","353,031","358,352","348,336","369,378","373,589","377,667","385,928","375,943","344,446","375,990","364,175","367,015","379,060","375,084","373,098","348,591","361,770","353,231","267,421","283,989","271,209","262,892","293,125","381,173","387,346","375,234","378,587","383,846","382,860","338,064","346,750","366,587",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
