"Total energy expenditures, million dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,"1,767.8","1,990.5","2,183.6","2,553.7","3,418.0","3,947.4","4,362.6","5,041.0","5,507.4","6,801.5","8,772.4","9,837.5","10,024.6","9,925.8","10,720.9","11,049.1","9,735.0","10,552.2","11,027.2","11,747.7","12,978.6","12,656.2","12,732.2","13,821.1","13,790.4","14,583.6","15,986.5","15,603.0","15,043.1","15,432.8","19,652.4","19,424.2","19,223.3","21,438.8","25,535.2","32,370.7","34,265.7","35,464.7","40,523.7","32,128.5","38,095.8","43,577.6","41,659.0","42,706.8","42,586.0","34,958.1","32,346.1","35,519.0","37,683.5","36,603.6","31,075.6","38,616.5","50,945.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,273.9,309.6,325.0,381.0,513.6,651.5,711.2,819.6,917.1,"1,222.1","1,720.7","2,060.7","1,944.3","1,817.4","1,865.7","1,906.9","1,461.9","1,480.5","1,592.9","1,809.4","2,117.9","2,029.2","1,984.3","2,017.3","2,122.1","2,202.7","2,305.8","2,272.6","2,092.5","2,163.2","2,705.1","2,779.2","2,688.2","3,335.9","4,024.6","4,996.9","5,729.1","6,177.1","6,828.5","4,804.8","6,199.8","8,067.9","8,289.5","8,214.8","7,769.9","5,906.4","5,214.4","5,847.9","6,833.7","6,732.8","4,697.7","6,347.8","9,293.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,"1,260.7","1,340.8","1,469.5","1,695.3","2,072.3","2,364.0","2,714.6","3,071.4","3,258.8","4,189.3","4,862.9","5,455.0","5,675.6","5,569.1","5,448.9","5,405.5","4,794.7","4,613.2","4,829.9","4,955.0","5,241.3","5,318.9","5,391.1","5,820.5","5,934.4","6,056.2","6,586.5","6,616.6","6,186.9","6,612.9","8,185.6","8,185.0","7,738.6","8,506.8","10,009.4","12,256.1","13,544.5","14,669.3","17,242.1","13,397.1","14,727.2","16,995.8","16,020.3","16,792.6","17,467.7","13,413.7","12,685.9","13,953.8","15,695.1","15,004.4","12,849.2","16,730.0","22,165.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,348.3,375.1,410.0,466.4,610.5,735.0,809.7,899.4,976.8,"1,235.5","1,465.8","1,615.1","1,621.2","1,579.9","1,623.8","1,689.5","1,430.5","1,520.7","1,574.7","1,725.4","1,849.6","1,892.7","1,925.8","2,056.6","2,147.9","2,222.0","2,492.9","2,479.6","2,369.0","2,580.7","3,137.3","3,183.1","3,211.3","3,186.9","3,740.4","4,531.4","5,076.3","5,437.1","6,097.9","4,922.9","5,777.9","6,709.9","6,796.0","7,068.8","7,145.6","6,132.4","5,717.9","6,338.2","6,950.1","6,752.6","5,946.2","7,676.3","9,809.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,"4,931.4","5,176.4","5,648.3","6,400.1","8,301.7","9,274.1","10,474.1","11,792.2","13,151.6","15,586.7","18,457.1","20,103.8","20,265.5","21,178.5","20,692.8","20,964.5","19,063.1","19,632.3","19,985.5","20,346.5","21,555.4","21,550.9","21,252.3","22,638.2","22,368.1","22,982.2","24,846.4","24,831.1","22,636.1","23,875.6","28,883.1","29,125.5","26,852.3","30,177.0","33,593.6","41,443.4","42,631.0","47,370.7","54,789.7","40,662.2","45,198.7","50,813.4","47,680.2","48,730.1","51,697.8","40,674.6","37,624.7","40,774.3","45,081.6","42,541.5","34,176.3","45,184.2","60,710.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,"2,558.9","2,719.2","3,001.5","3,420.7","4,622.6","5,184.0","5,583.2","6,508.5","7,239.8","8,666.7","10,026.4","11,259.9","10,982.0","10,944.9","11,629.1","11,756.3","10,443.4","10,709.0","11,024.6","11,546.3","12,191.6","12,019.9","11,662.2","12,228.4","12,730.5","12,700.1","13,605.1","13,950.0","13,160.7","14,030.4","16,660.8","16,979.8","16,409.6","18,953.8","20,730.1","25,074.3","27,080.2","28,301.6","32,469.4","24,606.7","27,360.1","32,160.9","31,978.2","33,172.9","33,965.1","27,480.6","24,914.7","26,786.3","29,540.9","28,824.0","24,306.1","31,084.9","39,627.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,918.9,963.2,"1,027.0","1,189.1","1,539.0","1,729.1","2,050.1","2,322.3","2,553.4","3,407.8","4,079.8","4,637.2","4,786.0","4,880.3","5,378.5","5,145.2","4,753.1","4,916.0","4,960.9","5,069.0","5,314.2","5,102.1","5,263.1","5,218.4","5,352.1","5,285.0","5,954.6","5,975.0","5,607.9","6,019.5","7,256.8","7,051.1","6,584.4","7,957.8","8,795.6","9,303.3","10,508.3","12,577.4","13,469.9","10,310.0","11,614.9","13,203.6","13,106.6","13,785.4","14,500.1","11,241.6","10,523.9","11,186.7","12,594.4","12,014.1","10,269.6","12,674.1","17,246.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,"1,295.9","1,364.1","1,489.5","1,698.7","2,244.8","2,674.6","3,048.0","3,509.5","3,806.0","4,730.8","6,006.6","6,575.7","6,649.5","6,616.8","6,893.3","6,792.5","6,084.1","6,420.1","6,747.8","7,186.1","7,389.9","7,297.3","7,347.3","7,697.8","7,816.4","7,990.9","8,453.4","8,824.7","8,066.0","8,748.2","10,309.7","10,503.9","10,415.5","11,270.3","13,524.0","16,633.5","18,136.5","19,714.5","22,712.4","17,505.7","20,409.1","23,866.3","22,986.0","22,728.8","22,224.6","17,478.3","16,182.0","17,347.8","19,697.3","18,820.4","15,411.2","20,399.8","27,349.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,"1,817.7","1,927.7","2,196.6","2,619.1","4,111.0","4,367.0","5,204.0","6,487.4","7,048.6","9,602.0","12,975.9","16,662.6","15,562.6","14,659.4","14,561.0","13,911.4","11,355.7","11,575.4","11,619.8","12,576.8","14,419.2","14,027.7","13,222.1","13,849.1","14,188.5","14,121.8","17,072.4","16,520.4","13,721.4","15,391.0","23,147.9","20,720.1","19,367.2","22,948.7","28,745.7","35,459.1","40,601.0","43,812.3","57,869.7","34,713.8","40,637.1","47,630.2","39,680.7","39,274.1","39,410.0","27,724.3","25,026.6","29,661.8","32,721.4","29,900.0","24,325.2","36,300.1","44,877.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,"2,296.4","2,576.3","2,756.3","3,111.5","4,383.8","4,696.6","5,173.6","5,599.8","5,644.3","6,461.0","8,220.2","9,579.9","9,387.5","9,218.4","9,774.9","9,638.6","8,503.4","8,932.8","9,101.1","10,017.5","10,771.7","10,822.1","11,027.8","11,205.1","11,508.9","11,604.1","12,290.9","12,728.5","11,295.5","11,528.1","14,408.9","15,797.9","14,177.8","16,201.4","17,815.8","21,568.6","24,313.7","25,774.9","29,228.1","22,716.6","24,780.2","27,798.4","26,812.4","28,062.5","28,161.3","24,085.8","21,537.1","23,375.1","27,139.6","25,826.7","20,938.9","25,454.1","33,810.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
