"Hydropower total consumption, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,"7,867","7,809","8,739","10,014","14,705","11,035","11,398","12,640","10,741","10,633","8,593","11,267","11,552","14,440","12,467","14,789","15,121","13,757","12,813","15,117","15,090","7,945","12,459","14,056","14,116","9,642","7,340","10,834","7,047","13,286","15,658","14,440","16,771","15,206","14,779","14,319","15,965","14,602","17,860","9,387","8,464","8,859","9,266","14,127","12,598","13,757","8,765","7,630","7,317","11,122","11,334","9,230","7,630","12,671","10,456","10,180","11,508","8,222","12,614","13,499","15,909","12,491","10,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,93,83,69,78,393,357,382,370,321,341,368,305,309,323,313,305,316,293,286,307,295,274,308,287,279,292,267,280,275,190,271,242,209,192,476,334,355,394,414,392,353,344,324,309,320,328,410,315,288,384,240,318,391,267,321,413,310,225,329,323,337,392,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,"3,006","3,059","3,177","2,585","2,354","3,166","2,959","2,750","3,246","2,954","3,191","3,115","3,389","3,092","3,040","2,998","2,201","2,660","3,174","3,063","3,228","3,349","3,133","3,138","3,133","3,375","3,251","3,312","2,385","2,292","2,986","3,075","3,411","2,549","3,654","3,422","3,191","2,746","3,115","3,226","3,084","2,884","3,229","2,691","3,228","3,274","3,103","3,284","2,795","3,314","3,235","3,157","2,614","2,556","2,998","3,276","3,128","3,528","3,156","2,717","3,498","3,344","3,446",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"21,034","19,091","20,411","20,399","21,470","22,659","23,296","23,533","23,017","21,428","24,145","25,485","26,762","28,247","33,048","35,054","35,389","23,028","33,678","31,271","32,438","32,437","39,550","43,575","45,021","37,066","41,465","27,654","23,015","31,900","31,100","29,839","22,703","33,149","27,010","37,496","45,322","50,073","44,136","46,059","37,418","24,645","29,921","28,504","28,871","29,146","38,359","30,782","31,945","35,602","31,234","45,737","37,329","28,911","30,716","29,878","30,822","36,407","37,615","35,257","32,442","27,280","28,523",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,630,673,646,604,607,596,591,613,568,582,568,465,512,440,425,418,443,442,439,443,472,457,423,459,480,465,482,365,222,340,491,459,475,444,412,423,360,332,470,485,491,491,440,473,524,440,591,525,473,465,404,479,379,410,451,425,453,427,500,422,461,439,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,342,364,257,177,154,320,324,"1,599","1,787","2,015","1,690","1,470","1,314","1,637","1,518","1,516","1,635","1,275","1,231","1,496","1,619","1,736","1,460","1,427","1,486","1,454","1,726","1,729","1,505","1,536","1,505","1,362","1,919","1,530","1,388","1,594","1,530","1,916","1,633","1,389","2,007","1,947","1,403","1,447","1,514","1,495","1,670","1,535","1,490","1,718","1,548","1,395","1,479","1,320","1,266","1,301","1,454","1,044",760,873,924,"1,321","1,265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,67,55,52,56,46,46,45,32,35,22,23,25,16,10,23,16,18,11,16,12,28,26,22,19,25,31,28,30,39,34,45,36,33,17,34,38,37,47,39,42,52,87,43,42,43,39,33,36,36,44,45,50,35,50,55,65,104,100,90,70,111,102,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,"8,984","8,685","9,467","7,942","8,239","8,408","8,753","12,613","9,985","9,136","10,828","12,066","12,863","13,045","11,594","11,816","10,778","11,304","10,856","13,444","10,030","8,866","11,405","11,067","11,989","10,036","9,328","10,058","8,267","15,027","10,783","12,480","12,854","10,765","13,694","11,681","11,932","11,533","10,632","8,723","7,931","13,155","13,732","13,471","12,898","10,104","8,843","5,693","6,542","11,320","8,804","10,131","8,058","11,175","10,726","11,613","11,867","15,375","15,074","14,438","17,079","16,638","15,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,240","2,240","2,240","4,203","3,316","3,249","3,289","3,535","3,626","2,736","1,816","2,498","3,042","3,043","3,749","2,767","2,433","2,821","3,632","4,218","3,783","3,562","2,320","3,564","3,719","3,409","3,764","3,092","4,026","4,660","4,107","3,785","3,126",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,"3,352","2,776","2,699","2,417","2,287","2,265","2,741","2,727","2,671","3,005","2,570","2,408","2,932","1,911","1,459","1,424","1,672","1,441",729,"1,495",539,"1,468",859,947,"1,013",895,"1,338","1,057",724,"1,378","4,262","3,804","3,449","3,011","3,200","2,964","4,056","3,520","3,513","3,325","3,634","2,397","2,986","3,669","3,406","3,555","5,161","2,721","3,944","4,098","3,400","3,920","3,113","3,383","3,078","2,822","2,431","3,540","3,868","3,329","2,879","3,813","2,993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,"4,632","3,887","3,918","3,312","3,794","3,893","4,510","6,561","5,489","4,636","6,506","6,049","7,787","7,386","6,719","7,885","7,126","6,884","5,922","7,476","4,332","4,864","4,575","6,024","6,900","5,199","6,401","5,500","4,529","6,066","7,844","4,802","6,226","5,658","6,857","4,920","8,385","5,420","5,936","4,859","5,912","4,038","5,667","9,032","8,556","5,813","7,180","5,637","6,736","6,444","5,689","8,691","5,652","5,893","5,512","5,538","4,750","6,706","9,659","7,466","5,789","7,224","6,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,"9,705","8,884","8,622","9,724","8,434","7,059","8,258","8,734","8,908","9,430","9,735","8,404","9,060","10,561","9,933","9,089","10,557","10,356","9,647","9,517","8,246","9,738","10,043","10,019","10,193","9,183","10,260","9,133","8,675","11,755","13,957","13,024","11,985","11,075","11,979","11,444","14,185","12,447","12,679","12,815","12,252","9,025","9,444","10,825","11,704","13,958","14,597","12,755","15,209","14,370","13,001","13,576","12,736","12,148","12,363","11,466","10,235","11,563","11,127","11,940","10,776","8,670","10,452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,"6,925","6,099","5,816","4,672","5,273","6,187","6,209","6,723","6,526","6,453","5,813","6,061","6,117","3,595","4,034","3,788","3,582","3,177","3,702","4,457","4,094","4,231","4,130","4,195","3,654","3,402","2,459","1,641","2,046","2,557","5,554","5,977","6,081","6,011","5,665","5,450","6,085","5,843","4,767","4,976","4,871","5,329","5,695","4,728","5,253","4,987","5,187","4,333","4,655","4,681","4,267","4,631","4,118","4,842","5,459","5,115","5,338","5,729","5,354","5,629","5,846","4,571","4,729",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,"3,026","2,516","3,296","2,870","3,224","3,728","4,045","2,944","3,435","3,427","3,049","3,343","3,554","3,605","3,132","3,128","2,005","2,286","3,690","3,129","2,683","3,201","3,433","3,662","3,313","3,321","3,687","2,952","2,309","2,786","2,924","3,539","3,625","3,927","3,885","3,747","4,050","3,530","3,257","4,023","3,178","2,837","2,761","2,779","2,519","2,643","1,951","2,231","2,481","2,761","2,867","2,546","1,914","1,744","1,871","2,897","4,123","4,291","3,595","3,603","3,418","2,317","3,243",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,"2,476","4,230","3,004","1,285","1,089","2,738","2,034","2,188","4,550","4,895","3,165","2,399","2,089","6,850","5,844","4,366","2,525","1,549","3,468","3,752","1,904","2,283","5,650","5,854","5,415","10,213","6,809","4,937","5,154","3,734","7,479","3,819","5,054","10,865","6,538","6,546","4,482","5,436","8,007","6,323","2,047","3,767","4,630","2,226","5,049","3,956",680,"4,109","6,984","6,199","5,252","4,044","2,437","3,877","2,379","5,442","4,328","4,032","2,826","7,561","6,413","5,792","4,721",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,"19,792","22,173","21,871","20,511","23,271","28,624","27,091","29,701","30,453","32,239","29,838","32,736","32,225","25,657","33,180","34,685","42,317","28,865","39,948","35,295","34,002","38,634","37,261","39,447","37,916","34,716","37,045","30,453","28,106","32,656","36,566","40,842","28,220","32,803","27,806","36,665","47,068","45,743","37,934","47,161","32,835","22,565","32,642","29,690","30,217","32,712","34,564","31,951","34,118","32,434","32,123","42,977","38,499","32,886","39,179","33,737","34,402","37,349","38,913","34,135","36,671","31,590","33,731",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,"17,054","16,109","18,737","14,887","20,436","18,375","14,941","17,182","16,113","16,907","14,923","20,190","21,965","24,270","23,509","24,073","19,286","18,038","18,705","27,012","18,719","9,998","18,453","20,955","21,731","13,967","8,600","17,404","9,872","23,871","23,268","19,961","19,682","17,016","24,540","18,837","20,309","19,196","19,579","12,570","10,706","8,857","11,915","24,570","18,545","18,413","13,099","10,182","10,351","17,644","16,229","13,284","12,720","23,545","16,228","16,180","15,071","13,027","22,538","21,106","27,151","19,833","15,990",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,"3,617","4,800","4,411","5,061","6,407","8,521","6,581","9,454","8,528","10,028","9,603","11,039","10,560","8,128","9,313","11,413","11,163","6,805","10,353","9,335","8,575","7,677","8,710","8,112","8,058","7,413","7,937","6,764","6,427","6,459","5,838","5,994","5,796","4,828","6,334","8,385","10,751","11,326","7,834","8,902","7,242","4,545","5,434","5,882","5,274","4,578","5,190","4,454","4,275","5,034","6,968","8,803","8,452","6,320","8,637","7,145","6,524","8,810","10,851","10,848","8,361","6,787","6,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,"3,272","3,167","3,328","3,459","3,421","3,807","3,966","3,969","4,279","4,223","4,676","4,638","4,681","4,678","4,414","4,139","4,355","4,165","4,051","4,251","4,557","4,083","4,136","4,591","4,588","4,916","5,725","5,347","4,607","3,952","3,890","3,564","3,669","3,418","4,476","4,866","5,466","5,706","5,742","5,865","5,120","3,836","3,745","3,344","3,115","2,973","3,048","1,185","1,182","1,480","4,483","5,518","4,289","3,835","3,950","5,749","2,922","5,081","4,716","4,573","4,743","3,832","3,608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
