"Total energy expenditures in the industrial sector, million dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,290.8,340.1,383.2,457.5,669.0,754.9,862.0,989.9,"1,197.0","1,485.7","1,779.8","1,925.2","2,015.1","2,123.1","2,403.0","2,584.9","2,175.8","2,227.4","2,333.2","2,514.3","2,638.4","2,559.4","2,606.8","2,734.9","2,700.1","2,824.5","3,024.8","2,971.4","2,861.4","2,879.7","3,337.5","3,419.6","3,379.9","3,626.2","4,280.9","5,508.7","5,561.3","5,326.0","6,013.2","4,311.6","4,673.5","5,135.4","4,642.1","5,000.5","5,372.3","4,324.4","4,191.1","4,449.7","4,709.4","4,592.2","3,803.9","4,962.1","7,077.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,35.7,43.6,48.9,56.3,79.3,109.8,111.3,129.0,149.5,195.5,283.0,434.2,496.8,357.5,343.7,336.8,250.3,261.1,262.0,279.6,343.1,346.2,349.9,399.1,412.0,431.9,467.5,451.4,398.6,394.7,498.3,476.5,444.5,500.5,562.5,673.7,755.9,776.3,"1,056.7",789.7,934.1,"1,182.4","1,241.4","1,289.1","1,319.0","1,010.2",865.5,952.5,"1,063.6","1,076.5",892.4,"1,054.6","1,500.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,276.1,274.4,301.7,363.5,480.9,532.3,652.9,753.5,790.4,"1,026.3","1,221.6","1,396.3","1,372.7","1,322.7","1,378.1","1,414.4","1,275.8","1,144.2","1,206.3","1,082.7","1,144.5","1,197.8","1,387.0","1,620.5","1,635.4","1,628.7","1,629.9","1,673.0","1,672.2","1,835.6","2,309.8","2,337.2","2,170.9","2,167.9","2,775.9","3,490.4","3,811.0","4,017.4","5,020.3","3,965.9","3,982.7","4,264.9","3,807.1","4,168.5","4,611.1","3,697.9","3,525.1","4,222.3","4,672.0","4,331.4","3,984.9","5,153.1","6,496.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,90.3,97.6,103.6,118.8,170.9,197.2,209.4,225.2,264.6,307.5,375.4,430.1,398.9,420.5,383.3,389.6,326.7,413.8,384.0,417.2,432.7,456.3,450.5,455.5,497.3,534.6,611.0,565.8,581.8,581.6,662.7,722.5,725.0,727.0,847.2,"1,039.8","1,061.3","1,099.1","1,234.2","1,077.6","1,186.3","1,367.3","1,347.9","1,363.0","1,427.6","1,248.3","1,109.0","1,132.2","1,220.3","1,071.8","1,060.9","1,236.3","1,533.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,"1,060.9","1,110.3","1,220.6","1,390.1","1,972.2","2,178.0","2,451.4","2,796.1","3,160.8","3,804.5","4,587.9","4,851.1","4,536.9","4,981.8","5,056.3","5,267.8","5,068.5","5,194.4","5,018.8","4,384.2","4,702.9","4,715.8","4,724.2","5,099.9","5,038.9","4,983.6","5,317.4","5,236.2","4,808.9","4,965.4","5,571.6","5,550.9","5,050.6","5,733.0","6,402.2","7,431.4","7,501.2","8,651.1","10,008.0","7,288.1","7,753.3","8,116.3","7,103.7","7,354.4","8,325.8","6,439.3","5,805.1","6,184.4","6,735.2","6,367.2","5,528.5","7,264.7","9,380.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,740.8,797.0,934.9,"1,071.7","1,644.7","1,934.6","1,973.6","2,435.8","2,814.6","3,192.9","3,379.5","3,903.0","3,595.8","3,695.8","3,687.3","3,813.3","3,444.9","3,382.8","3,461.4","3,480.2","3,617.2","3,526.3","3,429.0","3,619.6","3,829.5","3,576.7","3,819.7","4,005.5","3,953.6","4,140.6","4,539.8","4,997.5","4,632.0","5,362.3","5,839.8","6,988.7","7,277.2","7,337.6","8,327.9","6,348.3","6,786.8","7,996.9","8,081.1","8,073.2","8,459.9","7,443.2","6,554.2","7,297.6","7,884.4","7,955.5","6,653.5","7,974.8","9,932.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,164.2,177.1,191.3,222.5,302.9,347.9,437.5,542.6,607.2,919.0,988.0,"1,243.6","1,191.5","1,188.7","1,681.7","1,453.7","1,457.1","1,456.8","1,462.4","1,431.2","1,288.2","1,166.9","1,469.2","1,202.5","1,424.4","1,128.0","1,361.8","1,477.0","1,348.2","1,514.7","1,839.9","1,752.5","1,525.4","2,051.6","2,328.8","1,967.4","2,217.3","3,420.9","2,841.7","1,797.4","2,171.8","2,331.5","2,219.8","2,228.4","2,370.9","1,945.8","1,780.5","1,935.1","2,158.6","1,995.8","1,815.0","2,215.1","3,229.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,333.7,370.6,445.1,486.4,670.5,888.9,"1,030.2","1,166.0","1,273.4","1,521.2","1,770.3","1,933.9","1,894.6","1,856.3","2,234.8","2,272.4","2,024.4","1,994.1","2,053.9","2,091.5","2,085.4","1,958.5","1,996.4","2,106.9","2,199.4","2,119.4","2,338.2","2,302.9","2,124.8","2,257.0","2,539.2","2,813.8","2,805.2","3,000.0","3,425.8","4,226.9","4,649.9","4,758.2","5,683.2","4,323.4","5,233.5","5,876.7","5,334.6","4,797.4","4,254.5","3,311.3","2,997.7","3,102.9","3,408.9","3,272.4","2,727.3","3,677.4","4,826.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,703.5,768.4,901.5,"1,107.5","2,019.9","2,089.6","2,629.6","3,475.0","3,753.0","4,990.1","6,998.1","8,980.6","8,514.6","8,107.4","7,609.5","6,805.8","5,127.5","5,215.0","5,091.4","5,656.4","6,754.8","6,390.2","5,901.1","6,233.5","6,461.6","6,279.9","8,106.1","7,788.3","5,774.8","7,141.2","11,881.7","10,205.0","9,501.1","11,466.9","15,697.0","19,580.7","22,417.4","25,610.9","37,075.0","19,532.9","23,638.3","27,602.6","21,491.0","20,570.8","21,342.7","12,908.8","11,886.6","15,477.7","17,569.8","15,122.7","12,024.2","19,820.3","23,075.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,286.7,340.4,369.9,420.8,673.2,664.1,716.8,768.7,768.9,801.8,950.5,"1,288.1","1,163.4","1,250.6","1,401.0","1,310.9","1,197.2","1,301.4","1,147.4","1,222.1","1,324.1","1,288.1","1,392.8","1,454.8","1,398.5","1,352.0","1,434.8","1,488.5","1,391.5","1,381.6","1,716.0","2,031.2","1,802.2","1,680.1","1,739.8","2,040.0","2,520.5","2,496.4","2,566.4","3,331.1","3,433.2","3,538.1","3,243.8","3,353.0","2,267.3","2,056.5","1,810.2","1,874.4","2,095.5","2,007.4","1,853.5","2,093.4","2,635.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,304.8,368.8,377.6,470.0,721.9,748.4,866.2,876.7,989.1,"1,188.0","1,313.8","1,486.1","1,433.3","1,501.1","1,745.4","1,646.3","1,578.8","1,559.2","1,505.2","1,731.1","1,754.0","1,600.0","1,545.6","1,615.3","1,541.1",910.8,"1,056.5","1,034.7",989.7,997.6,"1,196.1","1,170.7","1,508.1","2,060.5","2,086.2","2,541.1","1,615.0","1,663.6","1,968.8","1,405.7","1,336.4","1,423.7","1,257.0","1,176.0","1,297.4","1,078.0",916.8,"1,045.1","1,057.5","1,036.5",872.4,"1,042.3","1,352.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,60.4,87.0,87.3,97.4,193.8,156.9,201.9,242.4,220.3,282.1,336.5,429.1,611.4,417.8,500.2,462.9,422.6,402.0,456.0,517.7,514.5,573.2,621.0,642.2,682.8,653.9,645.4,636.7,546.1,559.3,713.2,741.3,791.5,569.6,754.1,877.4,"1,074.8","1,273.8","1,377.1",920.4,"1,081.1","1,138.8","1,070.1","1,033.2","1,028.5",813.4,646.7,652.3,755.3,719.2,663.8,761.6,932.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,841.5,916.8,"1,029.2","1,182.7","1,607.6","1,986.1","2,246.4","2,412.5","2,627.8","2,950.0","3,365.7","3,589.8","3,399.3","3,487.4","3,763.9","4,057.0","3,870.3","3,512.0","3,813.7","3,871.2","4,113.9","4,083.9","4,209.6","3,372.5","3,442.0","3,475.4","3,648.0","3,675.3","3,473.3","3,757.5","3,953.0","3,780.5","3,755.5","4,197.0","4,480.6","5,403.4","5,777.3","5,584.9","5,687.3","4,571.9","5,053.8","5,427.9","5,330.0","5,671.4","5,862.6","4,830.3","4,366.6","4,599.2","4,842.1","4,766.4","3,990.4","4,775.1","6,266.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,324.5,356.0,391.3,447.7,624.0,721.9,857.7,911.5,"1,054.2","1,221.5","1,351.9","1,503.5","1,614.6","1,568.8","1,598.5","1,634.4","1,493.8","1,491.7","1,583.6","1,618.9","1,801.4","1,790.0","1,846.7","1,938.4","1,949.6","2,013.0","2,143.5","2,241.4","2,115.7","2,156.1","2,555.3","2,128.2","2,021.7","2,288.9","2,698.7","3,253.0","3,539.1","3,872.3","4,595.6","3,396.1","4,066.6","4,494.3","4,330.2","4,598.0","4,890.2","3,696.0","3,384.9","3,571.9","3,936.7","3,888.5","3,312.8","4,019.7","5,162.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
