"Total energy expenditures in the commercial sector, million dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,209.1,238.5,276.2,319.4,389.1,501.6,584.3,677.8,679.7,742.7,838.5,"1,035.9","1,190.8","1,289.9","1,547.5","1,585.1","1,501.4","1,701.6","1,872.9","1,996.1","2,145.3","2,159.8","2,251.9","2,377.0","2,425.5","2,500.3","2,639.3","2,726.0","2,807.8","2,646.9","3,074.3","3,215.9","3,115.7","3,293.7","3,672.8","4,341.3","4,383.7","4,591.7","5,201.3","4,894.1","5,209.6","5,480.3","5,190.0","5,361.6","5,706.3","5,510.9","5,453.6","5,505.7","5,556.0","5,578.2","5,175.2","5,805.3","7,313.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,31.2,33.5,37.2,43.8,52.2,69.0,78.3,92.1,105.2,126.4,176.0,228.1,227.6,211.4,226.7,226.8,202.8,222.1,252.9,270.5,297.4,296.5,328.9,325.7,351.8,380.8,408.8,423.5,422.6,418.2,515.4,529.0,513.7,587.7,668.7,760.2,863.1,876.2,"1,186.2",860.4,"1,010.8","1,281.3","1,301.0","1,280.6","1,275.4","1,010.8",908.2,"1,004.3","1,115.8","1,103.8",908.8,"1,086.9","1,430.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,149.3,162.7,183.1,199.9,227.0,284.1,334.2,388.6,419.4,530.8,502.1,654.7,750.9,826.3,792.9,774.3,727.4,651.6,692.6,682.7,688.1,750.7,749.9,820.1,791.7,806.5,862.6,910.3,876.3,900.8,"1,040.1","1,112.7","1,043.7","1,199.3","1,255.7","1,396.5","1,554.2","1,589.7","1,782.2","1,638.6","1,730.5","1,831.9","1,798.4","1,954.9","2,006.2","1,762.7","1,559.8","1,665.4","1,820.2","1,807.3","1,631.1","1,877.3","2,627.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,41.0,48.4,53.9,57.1,65.6,91.7,104.1,123.1,115.0,140.2,172.3,191.2,242.8,231.4,249.6,265.2,246.3,245.9,270.1,282.8,282.8,297.4,317.3,300.2,331.7,321.9,352.0,336.8,344.0,371.8,432.4,492.0,543.3,413.1,446.6,494.5,521.4,529.3,602.1,588.7,583.0,614.8,623.5,683.0,700.0,706.4,698.2,736.7,739.8,726.0,711.9,774.9,923.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,727.5,791.3,885.7,968.3,"1,167.6","1,420.2","1,694.8","1,914.3","2,236.4","2,462.0","2,803.0","3,335.0","3,688.4","3,973.5","4,031.5","3,774.8","3,760.5","3,750.8","3,751.6","3,870.5","4,000.1","4,141.8","4,072.0","4,408.5","4,355.7","4,465.8","4,729.9","4,820.8","4,639.2","4,689.6","5,257.1","5,575.6","5,530.8","5,507.9","5,565.4","6,290.8","6,366.2","6,747.2","7,695.4","6,719.6","6,499.9","6,384.8","5,751.5","6,155.7","7,147.5","6,505.8","6,453.3","6,629.8","6,837.8","6,653.9","5,987.1","7,120.5","9,139.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,244.6,265.1,307.9,329.9,381.3,444.4,517.8,607.7,658.0,766.5,854.2,857.2,"1,010.5","1,139.4","1,283.6","1,241.0","1,226.9","1,218.4","1,418.8","1,429.2","1,400.7","1,427.8","1,431.8","1,514.6","1,561.4","1,550.3","1,622.8","1,694.8","1,701.7","1,728.5","1,895.6","2,206.7","2,029.2","2,255.3","2,354.3","2,613.8","2,733.1","2,764.2","3,213.1","2,941.6","2,838.8","3,003.2","2,967.7","3,204.0","3,408.6","3,200.6","3,136.0","3,300.5","3,510.8","3,502.4","3,227.2","3,674.7","4,414.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,111.3,120.5,133.1,138.8,157.2,206.9,266.2,309.9,360.4,418.2,486.8,563.6,650.1,793.4,794.9,769.8,778.8,775.9,797.1,803.8,850.3,876.8,872.5,937.9,949.8,954.8,"1,066.1","1,030.1","1,038.7","1,003.5","1,148.3","1,199.1","1,165.0","1,251.2","1,317.9","1,340.5","1,424.0","1,481.6","1,656.8","1,569.7","1,651.9","1,733.0","1,735.9","1,850.9","1,995.9","1,993.6","2,052.3","2,106.8","2,187.3","2,063.4","1,938.1","2,122.8","2,572.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,109.9,108.6,121.1,123.5,154.9,192.9,239.5,311.4,349.3,405.7,565.2,556.9,676.2,742.0,692.0,662.8,651.7,742.4,781.0,801.5,821.4,859.4,841.3,878.4,900.6,922.0,972.0,"1,077.7","1,053.5","1,092.9","1,199.8","1,290.7","1,253.8","1,356.2","1,493.6","1,707.7","1,759.7","1,846.9","2,066.7","1,892.4","1,922.8","2,013.4","1,995.0","2,223.9","2,286.8","2,305.4","2,342.2","2,352.8","2,467.6","2,512.2","2,300.3","2,553.7","3,083.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,189.1,204.9,229.8,271.9,344.5,321.5,395.1,511.2,587.5,"1,028.2",984.5,"1,398.6","1,353.6","1,083.7","1,274.6","1,432.3","1,316.5","1,251.0","1,268.7","1,306.0","1,340.1","1,312.8","1,329.0","1,399.1","1,417.7","1,364.2","1,501.0","1,487.7","1,471.3","1,508.8","1,871.1","1,870.2","1,678.2","2,009.3","2,094.1","2,294.0","2,303.4","2,764.2","2,742.3","2,181.4","2,447.3","2,459.2","2,249.4","2,503.3","2,600.7","2,530.4","2,487.0","2,590.9","2,648.3","2,588.5","2,355.1","2,797.1","3,480.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,390.8,466.3,507.3,583.8,861.7,967.5,"1,077.2","1,187.0","1,215.2","1,302.2","1,649.4","1,888.9","1,975.1","1,866.6","2,089.3","2,001.4","1,900.9","1,966.8","2,026.0","2,259.5","2,410.0","2,539.8","2,542.9","2,589.0","2,820.2","2,839.7","3,002.6","3,229.7","2,895.0","2,593.0","3,049.8","3,802.5","3,262.2","3,753.0","3,942.3","4,663.1","5,334.3","5,503.6","5,883.0","4,051.2","4,255.9","4,152.2","3,669.9","4,086.3","5,629.8","5,695.6","5,312.2","5,577.1","6,397.8","6,021.9","5,220.6","5,832.3","7,174.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
