"Biomass total consumption, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,"71,206","70,216","69,729","72,407","73,208","74,215","74,664","70,831","73,637","73,255","71,792","74,407","79,604","81,637","83,428","78,324","89,188","94,049","99,260","103,274","98,096","98,408","105,698","107,773","116,258","116,686","119,242","112,954","117,426","177,845","188,344","183,376","183,692","194,264","196,067","205,644","208,259","218,529","202,938","202,675","196,564","164,912","255,750","179,394","189,409","177,716","184,924","183,298","176,734","188,182","214,201","219,741","215,663","246,936","265,285","270,370","256,562","250,423","248,716","256,430","250,225","252,540","250,273",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,0,0,0,206,224,172,144,258,678,729,429,347,550,543,591,569,701,460,275,327,"11,910","12,745","12,440","14,035","14,301","14,217","16,314","17,846","19,426","26,984","25,924","25,446","24,901","24,388","20,724","19,803","19,066","17,433","16,548","16,981","15,194","7,954","7,491","9,314","9,354","9,632","10,054","9,936","12,030","12,482","10,700","11,187","10,026","11,720","11,624","12,075","13,414","10,944","10,700","9,971","8,423","9,035","8,976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,"6,404","6,163","5,749","5,460","5,579","5,462","5,963","5,834","6,353","6,204","6,264","6,557","6,925","7,276","7,672","7,887","8,495","8,952","9,649","9,652","48,728","53,916","57,308","62,415","65,969","65,590","90,023","97,542","104,283","70,577","64,850","66,649","69,783","73,113","74,190","73,847","78,822","71,580","69,391","71,068","66,147","62,586","65,857","75,223","90,720","98,147","110,108","139,290","163,974","206,436","235,135","239,044","228,413","232,673","241,842","252,727","257,114","264,721","273,582","274,834","243,368","255,961","254,642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"11,354","10,813","10,825","10,560","11,059","10,361","10,269","10,300","10,659","10,620","11,476","11,181","11,368","11,209","10,332","11,103","13,792","15,540","17,065","18,844","14,646","16,321","16,085","17,969","18,432","18,744","19,410","17,002","17,771","26,775","24,350","24,416","25,784","25,189","24,060","25,630","26,166","28,607","27,359","28,093","27,857","28,446","22,446","22,969","25,928","35,321","32,954","34,984","36,210","29,231","36,489","32,630","32,242","34,284","41,189","49,425","43,520","46,151","48,031","48,977","39,485","40,177","45,099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,"31,033","30,135","30,865","32,563","32,631","33,209","35,275","35,570","38,299","39,935","39,317","39,199","39,932","42,523","42,652","41,624","46,126","49,962","61,593","63,281","90,927","98,923","107,137","125,003","123,273","128,846","139,818","150,417","159,343","130,459","101,160","107,182","112,998","96,425","99,239","96,147","81,943","89,677","89,509","91,739","95,574","98,666","109,431","124,424","123,019","105,578","103,418","120,700","133,808","154,478","168,529","168,961","164,189","171,930","177,003","165,347","172,856","168,220","163,312","158,615","145,053","147,961","151,753",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,"23,477","23,062","23,293","23,463","22,696","22,081","23,325","22,475","23,233","23,801","23,295","22,643","26,828","27,118","27,370","26,719","31,049","34,870","42,076","47,318","51,217","53,864","54,622","63,524","60,559","65,218","66,688","71,478","75,580","64,821","55,709","57,183","56,616","48,311","46,872","49,123","44,255","40,412","38,669","42,374","41,611","46,107","49,889","51,556","51,818","57,341","48,341","60,337","89,375","96,032","110,698","115,492","105,189","115,856","120,323","121,368","127,614","126,449","130,245","121,024","113,095","125,220","125,526",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,"3,912","3,684","3,508","3,624","3,534","3,358","3,391","3,252","3,353","3,214","3,659","3,866","5,654","5,999","5,846","5,763","6,472","6,820","7,491","7,891","9,002","8,403","10,323","10,649","14,596","14,750","21,730","20,424","21,607","17,552","13,652","14,097","14,026","13,322","12,823","12,656","11,467","9,977","9,495","9,731","9,482","9,951","14,359","17,657","15,375","18,057","17,884","24,031","40,070","37,770","40,975","44,156","39,496","41,819","47,510","46,223","47,492","47,067","49,268","49,515","47,610","46,613","49,619",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,"22,418","21,538","22,130","23,192","21,760","21,678","22,592","22,511","22,928","23,353","23,719","24,859","27,438","27,910","31,187","30,821","35,344","29,568","37,550","41,737","25,284","27,999","34,572","31,669","40,577","42,440","40,254","36,128","36,965","30,923","20,277","21,060","22,118","17,276","15,791","15,948","18,997","13,508","11,476","11,764","11,972","13,024","23,396","29,560","32,224","43,843","42,921","47,678","50,683","50,342","56,732","58,823","55,051","62,326","63,853","54,807","56,695","58,734","60,201","60,484","51,629","53,974","62,233",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,"38,992","37,174","36,785","39,147","39,291","38,299","39,754","37,685","40,791","40,698","41,620","41,912","44,819","45,748","44,928","42,358","45,170","46,692","47,825","44,717","64,707","68,263","69,667","74,654","78,816","79,343","102,343","102,199","104,615","129,643","118,502","121,049","124,568","125,335","137,993","142,091","142,258","138,717","136,243","139,727","136,411","128,005","134,453","142,841","177,923","142,779","142,569","142,605","102,876","105,568","121,825","122,926","122,154","139,120","160,089","145,615","162,307","149,424","146,177","134,290","129,659","129,386","126,810",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,"42,784","44,105","45,238","45,338","47,137","48,698","49,749","49,846","53,961","55,409","57,139","53,852","50,384","50,682","52,494","48,983","55,418","58,949","65,463","69,761","70,853","68,711","64,010","75,676","61,934","62,713","65,546","57,049","59,645","62,436","52,055","54,712","57,721","60,375","63,487","63,255","65,776","61,397","55,485","54,773","58,184","40,335","37,475","39,014","41,191","35,860","46,483","50,927","48,217","56,170","63,913","63,502","60,395","65,534","66,527","65,883","66,119","61,777","59,722","58,626","49,696","52,007","51,897",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
