"Total energy consumption in the transportation sector, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,"208,533","208,089","225,338","239,176","249,133","257,459","282,715","317,508","352,836","376,949","400,637","432,077","461,433","508,272","488,267","487,288","508,176","528,643","550,247","569,712","549,560","541,819","541,852","560,948","583,649","590,584","621,760","662,416","694,396","674,359","682,461","664,978","668,773","741,521","753,095","789,846","834,713","802,959","830,734","859,973","859,647","858,302","860,602","887,846","924,911","965,763","949,546","925,028","865,340","928,555","988,009","969,305","912,781","936,920","905,128","951,171","912,859","966,217","943,540","935,008","823,822","858,655","875,402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,"61,778","74,032","66,104","69,466","74,849","78,979","91,537","105,098","122,002","125,141","125,344","138,833","136,476","140,854","128,660","130,543","131,684","141,346","144,630","156,359","146,713","124,102","102,196","117,875","129,351","142,888","127,072","124,138","140,944","154,497","154,545","151,201","144,127","130,086","139,865","138,041","121,533","117,181","114,518","122,989","125,096","131,920","140,060","162,799","171,915","179,128","181,362","194,442","136,507","132,829","156,658","161,284","161,463","165,040","158,147","161,866","163,291","170,865","173,110","174,421","108,999","142,648","155,806",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,"151,001","147,507","153,878","159,082","161,376","161,744","171,703","183,403","196,338","206,896","210,247","230,011","238,881","256,476","246,911","248,508","257,384","261,075","260,059","259,122","238,037","226,744","231,164","229,299","228,259","222,333","218,170","228,123","235,332","237,178","235,625","228,184","226,937","231,808","247,614","256,890","272,661","266,370","275,603","274,154","270,870","269,727","278,502","281,575","296,307","300,758","307,445","313,014","305,878","298,572","304,872","307,481","291,816","297,004","307,895","299,631","316,278","301,370","304,457","304,878","277,816","295,737","297,766",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"42,448","41,866","44,468","43,894","45,479","49,550","53,667","54,383","56,019","60,261","65,806","68,285","73,323","75,193","76,433","79,098","84,321","88,129","93,007","99,686","83,315","76,720","75,113","74,453","77,642","79,813","80,510","82,283","84,336","88,615","90,874","88,787","89,674","100,692","103,105","110,452","112,208","114,869","117,181","123,440","124,232","121,405","123,256","117,135","122,155","123,131","131,164","135,469","124,004","122,803","137,521","131,634","132,913","137,162","139,595","153,669","158,982","161,078","163,540","169,098","158,219","168,862","169,891",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,"503,946","508,325","520,468","555,233","568,519","597,149","630,403","677,242","729,817","758,377","790,577","809,827","884,523","923,133","881,281","883,637","919,415","945,472","975,791","929,761","821,194","784,170","767,374","787,395","707,116","732,784","725,445","735,070","787,300","802,004","788,223","759,395","773,488","801,107","781,817","799,891","824,320","833,935","851,800","939,312","967,815","938,599","907,502","953,372","1,004,943","1,109,663","1,058,245","1,060,553","1,013,223","983,665","981,406","971,972","940,391","959,146","985,162","1,021,128","1,019,652","1,024,195","1,026,227","997,363","802,754","891,869","892,798",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,"265,282","262,745","277,217","284,318","289,382","300,042","316,147","326,392","342,193","359,239","377,796","391,294","424,550","441,971","430,689","429,976","445,748","453,325","463,957","470,907","441,657","446,984","432,620","439,574","513,196","520,787","552,469","578,042","562,368","577,378","581,671","567,838","558,793","580,695","603,534","621,793","607,596","608,934","613,596","629,855","658,503","603,612","648,275","671,909","639,334","644,040","656,663","641,108","601,724","581,201","588,506","580,709","568,947","596,091","608,550","610,891","608,624","583,967","573,831","572,895","526,137","581,265","569,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,"172,858","178,233","176,565","193,960","178,331","197,148","209,458","214,514","228,465","236,882","250,710","256,558","273,146","269,163","271,331","269,148","273,595","268,827","286,644","288,878","279,218","266,030","255,159","246,221","257,072","268,172","273,068","278,352","294,398","285,614","280,304","260,471","255,948","260,226","247,301","274,175","273,318","271,115","270,026","285,477","269,988","251,278","260,526","285,806","273,226","258,189","272,773","279,483","276,308","285,206","274,866","266,783","264,777","281,896","302,102","278,596","274,368","266,814","283,410","289,713","257,990","258,508","266,884",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,"153,635","153,410","169,687","180,892","187,832","191,777","205,416","214,533","232,321","247,884","261,341","265,443","284,282","297,055","287,068","288,098","302,855","309,564","333,814","342,198","324,017","323,231","318,534","332,803","337,644","323,387","344,232","358,877","386,223","404,451","379,595","378,096","393,921","407,849","405,793","421,760","396,465","427,334","424,989","440,965","441,204","447,996","463,165","448,304","484,328","475,848","472,847","493,949","458,383","465,340","470,110","466,114","450,684","449,774","457,421","463,870","464,577","472,370","495,915","488,478","455,596","495,006","497,157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,"256,905","253,675","255,742","267,068","283,663","311,111","318,855","340,707","358,472","385,711","392,146","390,656","425,490","474,447","509,270","511,105","546,640","585,306","588,506","581,420","646,698","661,771","580,651","599,633","598,752","585,793","661,326","652,239","694,274","693,329","690,571","725,546","725,753","723,701","764,489","764,491","834,585","801,668","781,161","776,293","854,201","753,070","775,112","771,859","756,503","716,730","770,758","710,076","673,736","667,265","613,387","628,152","570,486","554,607","533,706","540,237","571,292","615,818","582,017","623,548","606,405","697,975","755,890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,"220,059","232,478","242,058","251,890","254,782","268,450","270,994","290,528","313,600","324,120","348,733","362,407","379,789","391,231","370,961","369,272","380,611","385,205","386,691","385,547","358,149","359,009","362,259","362,303","369,960","381,362","389,008","403,411","420,513","420,076","406,700","389,292","386,615","390,999","394,323","401,534","419,235","425,548","425,955","437,719","452,568","446,621","448,293","447,281","473,336","484,741","477,982","485,717","478,785","442,856","457,339","456,970","448,268","466,482","450,547","464,486","475,193","469,231","476,355","478,521","359,625","401,587","420,466",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
