"Total energy expenditures in the transportation sector, million dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,915.2,"1,025.4","1,098.7","1,279.8","1,812.9","1,982.9","2,149.6","2,404.0","2,546.1","3,455.5","4,731.6","5,307.7","4,998.0","4,516.6","4,551.8","4,622.8","3,577.5","4,008.0","4,063.3","4,358.1","5,195.7","4,864.6","4,676.7","5,131.8","5,180.9","5,559.5","6,374.7","5,998.9","5,295.7","6,131.0","8,395.1","7,880.2","7,604.5","9,045.8","11,545.9","15,621.5","17,194.7","18,209.8","21,269.1","15,110.9","19,527.4","24,449.8","23,867.8","24,139.1","22,529.7","16,636.2","14,114.4","16,942.7","18,422.6","17,365.5","13,026.0","18,246.9","25,430.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,167.9,187.5,190.0,222.4,313.1,386.6,426.8,493.5,544.9,763.5,"1,086.3","1,136.2",949.8,998.6,"1,058.3","1,116.0",815.3,789.6,875.8,"1,038.3","1,225.8","1,118.0","1,017.8",977.0,"1,027.0","1,029.2","1,033.1",982.6,869.4,941.6,"1,205.3","1,282.2","1,243.2","1,709.5","2,189.9","2,871.1","3,325.1","3,713.7","3,508.9","2,352.4","3,337.8","4,514.1","4,635.2","4,608.1","4,140.6","3,058.3","2,673.3","3,065.0","3,725.8","3,620.2","1,992.1","3,201.7","5,114.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,499.2,556.2,592.3,677.2,876.9,984.9,"1,106.8","1,219.3","1,279.8","1,675.7","2,103.8","2,274.1","2,229.4","2,003.2","1,944.8","1,898.4","1,510.9","1,618.6","1,645.5","1,875.5","2,108.4","1,998.4","1,908.2","1,897.4","2,053.3","2,108.6","2,448.0","2,374.5","2,098.4","2,285.9","3,020.8","2,883.0","2,751.6","3,153.7","3,929.9","5,003.8","5,828.2","6,599.8","7,669.7","5,308.4","6,480.2","8,339.0","8,087.5","8,067.5","8,021.6","5,589.1","5,236.7","5,581.9","6,383.8","6,095.3","4,604.3","6,784.8","9,509.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,151.6,154.8,170.1,197.4,275.3,317.3,355.4,389.5,434.5,596.2,708.1,761.8,721.1,661.7,675.0,695.4,539.7,558.1,590.9,670.2,776.8,750.9,791.4,884.3,908.5,931.0,"1,072.1","1,119.4",986.7,"1,129.3","1,458.0","1,319.2","1,261.0","1,411.5","1,719.2","2,165.6","2,573.1","2,861.6","3,170.7","2,193.5","3,005.9","3,666.4","3,790.9","3,822.2","3,861.0","3,039.9","2,770.6","3,198.1","3,757.5","3,689.2","2,942.8","4,312.6","5,739.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,"1,877.8","1,900.5","2,017.9","2,375.0","3,239.4","3,525.4","3,843.1","4,226.4","4,536.2","5,886.4","7,234.5","7,739.5","7,318.4","6,761.8","6,115.7","6,476.0","4,906.9","5,277.4","5,590.3","6,193.9","7,153.3","6,636.9","6,518.3","6,609.9","6,639.0","7,049.5","7,832.2","7,691.1","6,866.9","8,018.7","10,806.2","10,254.0","9,300.0","10,977.5","13,544.9","18,274.1","20,041.5","22,005.9","25,584.2","17,190.5","20,843.6","26,531.4","26,093.2","26,020.6","25,557.9","18,615.2","16,265.0","18,615.5","21,464.6","19,616.9","13,080.0","19,949.6","28,438.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,975.9,"1,019.5","1,041.7","1,215.5","1,709.3","1,828.2","1,984.0","2,156.3","2,294.2","3,075.9","4,003.3","4,565.3","4,157.2","3,823.2","4,177.1","4,271.2","3,306.5","3,653.0","3,507.8","3,940.4","4,634.7","4,398.6","4,180.7","4,250.8","4,440.8","4,703.9","5,042.2","5,054.9","4,481.3","4,999.9","6,890.5","6,056.4","6,074.4","7,334.5","8,401.7","10,741.3","12,374.2","13,259.4","15,315.4","10,217.1","12,712.6","15,961.4","16,069.7","16,594.7","16,333.7","11,619.5","10,092.4","10,920.5","12,279.8","11,594.2","8,787.3","13,294.0","18,235.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,415.3,427.6,448.1,534.6,758.1,830.4,926.5,982.4,"1,053.6","1,492.5","1,949.1","2,096.9","2,015.9","1,816.6","1,884.8","1,935.7","1,526.5","1,674.4","1,646.8","1,778.0","2,064.9","1,908.3","1,842.2","1,830.2","1,765.6","1,963.7","2,137.5","2,101.1","1,819.6","2,125.5","2,657.1","2,429.3","2,313.7","2,940.2","3,370.9","4,011.1","4,882.9","5,557.5","6,599.2","4,697.7","5,447.3","6,763.1","6,945.0","7,264.0","7,482.6","4,934.4","4,295.6","4,699.4","5,504.0","5,429.1","4,055.6","5,711.4","8,263.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,580.1,617.7,657.9,753.9,"1,048.7","1,146.5","1,261.1","1,382.1","1,483.0","2,010.4","2,671.1","3,004.0","2,875.0","2,670.3","2,642.0","2,533.1","2,108.8","2,363.0","2,536.3","2,870.0","3,100.8","2,978.6","3,034.6","3,110.2","3,096.3","3,313.8","3,369.6","3,655.3","3,193.2","3,635.9","4,607.8","4,384.0","4,345.7","4,725.6","6,249.4","7,950.7","9,000.1","10,169.4","11,669.3","8,133.3","9,878.3","12,578.3","12,529.3","12,293.2","11,954.3","8,441.0","7,473.5","8,555.5","10,155.7","9,400.2","6,905.7","10,337.1","14,945.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,628.3,648.0,697.1,821.3,"1,268.6","1,467.5","1,628.6","1,838.8","1,972.6","2,748.0","3,914.7","4,884.7","4,149.0","3,930.1","3,915.2","3,897.9","3,102.0","3,293.2","3,442.9","3,722.5","4,374.7","4,371.2","4,042.7","4,093.4","4,223.4","4,386.7","5,205.6","5,013.1","4,217.5","4,476.2","6,735.3","5,968.9","5,732.9","6,689.2","8,093.0","10,418.7","12,735.0","12,142.7","14,419.0","10,016.9","10,990.3","14,152.6","12,997.4","12,819.7","11,890.5","8,895.1","7,391.0","8,287.5","8,933.2","8,687.3","6,565.1","9,799.0","13,632.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,824.8,879.6,916.1,"1,035.7","1,434.5","1,563.3","1,669.5","1,814.9","1,837.1","2,455.1","3,215.3","3,670.1","3,437.2","3,249.1","3,198.3","3,358.1","2,690.1","2,868.7","3,061.8","3,268.8","3,619.3","3,590.0","3,514.6","3,457.1","3,503.1","3,814.5","4,100.8","4,180.1","3,607.6","4,069.6","5,368.7","5,019.6","4,756.1","5,486.5","6,693.5","8,400.8","9,523.7","10,508.4","12,538.8","8,320.3","9,997.6","12,863.5","13,067.2","13,330.4","12,211.7","8,801.2","7,948.3","8,832.2","10,356.0","9,729.6","6,282.1","9,240.6","13,680.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
